id,name,hospital_name,expert,postal,street_address,phone_number,address_x,address_y,congestion,possible,url
4,井上 洋介,井上クリニック,内科,919-0127,福井県南条郡南越前町広野,70-4309-2180,136.26892,35.71901,0.9908624452016364,1,http://tanaka.jp/
5,岡本 洋介,岡本病院,内科,670-0074,兵庫県姫路市御立西二丁目,090-4065-3032,134.66676,34.860459999999996,0.3705287656429192,1,https://www.shimizu.org/
11,小川 真綾,小川病院,内科,857-4815,長崎県佐世保市宇久町大久保,080-0604-4381,129.02424,33.311659999999996,0.8369914858831494,1,http://yoshida.com/
12,松本 明美,松本医院,内科,691-0071,島根県出雲市地合町,080-9920-0860,132.87347,35.58424,0.6866957602713843,1,http://tanaka.jp/
18,清水 くみ子,清水医院,内科,915-0873,福井県越前市池ノ上町,10-5999-1606,136.14023,35.876999999999995,0.9033774064312876,1,http://nakajima.net/
19,斎藤 浩,斎藤クリニック,内科,299-2204,千葉県南房総市平久里中,080-7593-9236,139.92764,35.099909999999994,0.2157982127242617,1,https://inoue.com/
25,中村 真綾,中村クリニック,内科,629-2534,京都府京丹後市大宮町下常吉,070-6269-8791,135.0886,35.556020000000004,0.09519616853704704,1,http://endo.jp/
26,石井 裕樹,石井病院,内科,781-4531,高知県香美市物部町久保和久保,090-8581-0840,133.99167,33.793279999999996,0.8488322443100415,1,https://www.watanabe.jp/
32,村上 加奈,村上病院,内科,690-1501,島根県松江市美保関町美保関,090-3610-4950,133.35432,35.601729999999996,0.4857383571417139,1,https://www.tanaka.com/
33,山下 舞,山下医院,内科,781-0073,高知県高知市北金田,69-4531-6479,133.55483,33.56677,0.34991278889607946,1,http://www.abe.net/
39,鈴木 美加子,鈴木医院,内科,933-0136,富山県高岡市渋谷,070-7523-1833,137.06443000000002,36.82301,0.6179369441668803,1,http://hasegawa.com/
40,藤井 浩,藤井クリニック,内科,649-1316,和歌山県日高郡日高川町蛇尾,080-6966-2781,135.21402,33.93715,0.6883972391209677,1,https://www.abe.jp/
46,岡本 淳,岡本クリニック,内科,529-1802,滋賀県甲賀市信楽町黄瀬,090-0260-0148,136.05788,34.94645,0.16499870437224462,1,http://shimizu.com/
47,小林 里佳,小林病院,内科,910-3558,福井県福井市八ツ俣町,080-1501-3380,135.88265,36.07297,0.4808924437343553,1,https://www.sato.com/
53,加藤 明美,加藤病院,内科,739-1521,広島県広島市安佐北区白木町三田,090-9012-0045,132.61893999999998,34.51638,0.5998166394332658,1,https://yamashita.com/
54,藤井 和也,藤井医院,内科,520-1422,滋賀県高島市朽木古川,090-9731-2410,135.92501000000001,35.32372,0.4841349217008887,1,http://ishikawa.com/
60,田中 篤司,田中医院,内科,838-0028,福岡県朝倉市屋形原,77-5519-7248,130.69829,33.43578,0.30691701306876296,1,http://www.sato.jp/
61,清水 涼平,清水クリニック,内科,470-3505,愛知県知多郡南知多町篠島,090-0433-2901,137.04136,34.66794,0.2690456830066985,1,https://www.takahashi.jp/
67,佐藤 七夏,佐藤クリニック,内科,321-1662,栃木県日光市湯元,090-5528-4320,139.35557,36.81208,0.19467294681605607,1,http://watanabe.com/
68,長谷川 直子,長谷川病院,内科,391-0321,長野県北佐久郡立科町池の平,090-4521-9189,138.20815,36.11,0.7434422389959446,1,http://yamaguchi.org/
74,林 あすか,林病院,内科,679-5135,兵庫県佐用郡佐用町春哉,070-2351-7676,134.4395,35.002320000000005,0.581658971441421,1,http://www.yamazaki.com/
75,林 七夏,林医院,内科,252-0116,神奈川県相模原市緑区城山一丁目,47-7866-5782,139.28832,35.5836,0.1919234220127125,1,http://www.ito.net/
81,渡辺 直人,渡辺医院,内科,871-0413,大分県中津市耶馬溪町大野,070-3383-9192,131.08408,33.45691,0.7074450394749432,1,http://www.ota.jp/
82,石川 淳,石川クリニック,内科,911-0001,福井県勝山市北谷町小原,080-6354-0586,136.59611999999998,36.08299,0.7816914859870937,1,https://www.yamashita.jp/
88,橋本 直人,橋本クリニック,内科,771-0375,徳島県鳴門市北灘町鳥ケ丸,090-2305-5478,134.50426000000002,34.29724,0.7446380514921447,1,https://yamada.com/
89,鈴木 くみ子,鈴木病院,内科,518-0212,三重県伊賀市福川,070-4347-5927,136.21916000000002,34.6573,0.16163136433462555,1,http://www.saito.com/
95,村上 七夏,村上病院,内科,969-5332,福島県南会津郡下郷町中妻新田,080-6247-1262,139.88125,37.2638,0.048476216615214174,1,https://ikeda.jp/
96,遠藤 聡太郎,遠藤医院,内科,929-1705,石川県鹿島郡中能登町花見月,070-2410-9393,136.85969,36.98948,0.1274622013352652,1,https://www.fukuda.jp/
102,藤井 美加子,藤井医院,内科,376-0042,群馬県桐生市堤町二丁目,74-5812-7499,139.32261,36.42297,0.4903410787448941,1,https://kato.net/
103,村上 幹,村上クリニック,内科,740-1202,山口県岩国市美和町北中山,080-0645-3933,132.09971000000002,34.311640000000004,0.5244563393767301,1,http://ikeda.jp/
109,木村 七夏,木村クリニック,内科,322-0306,栃木県鹿沼市中粟野,04-5874-8794,139.59444,36.54364,0.6346064017415531,1,http://www.kobayashi.net/
110,山本 加奈,山本病院,内科,966-0103,福島県喜多方市熱塩加納町加納,090-6358-7266,139.8273,37.7833,0.7274676861701916,1,http://tanaka.net/
116,橋本 淳,橋本病院,内科,384-2305,長野県北佐久郡立科町芦田,070-9894-8016,138.30607,36.25505,0.7284435307325691,1,http://www.aoki.com/
117,斎藤 裕美子,斎藤医院,内科,913-0065,福井県坂井市三国町崎,98-7040-0597,136.15481,36.29939,0.8033491220533227,1,http://www.takahashi.com/
123,佐藤 直人,佐藤医院,内科,699-3217,島根県浜田市三隅町黒沢,090-2246-4099,132.03085,34.76012,0.09580960943534332,1,http://matsumoto.jp/
124,田中 太一,田中クリニック,内科,509-4264,岐阜県飛騨市古川町平岩,070-8769-3649,137.15933,36.2324,0.3994877616831819,1,http://suzuki.org/
130,鈴木 康弘,鈴木クリニック,内科,920-1323,石川県金沢市下鴛原町,080-2658-0865,136.71534,36.4936,0.07833793705137848,1,https://sasaki.jp/
